state,hate_crime_2016,hate_crime_2017,population ,median_income,poverty,hs_diploma,foreignborn,non_white,college_degree,unemployed,election_result,white_poverty,christian,gun_law,men_to_women,gay_marriage,policing,trump_voters,gini_index,metro_population
Alabama,1.38E-05,3.08E-06,4903185,51734,0.155,0.871,0.036,0.322,0.263,0.06,red,0.12,0.86,4,94.1,3,261,0.63,0.472,0.64
Alaska,1.49E-05,5.43E-06,731545,75463,0.101,0.936,0.08,0.358,0.302,0.064,red,0.06,0.62,5,108,3,494,0.53,0.422,0.63
Arizona,3.35E-05,3.91E-05,7278717,62055,0.135,0.976,0.134,0.217,0.301,0.063,red,0.09,0.67,5,98.9,3,355,0.5,0.455,0.9
Arkansas,4.21E-06,2.47E-06,3017804,48952,0.162,0.875,0.051,0.233,0.234,0.052,red,0.12,0.79,3,96.1,1,224,0.6,0.458,0.69
California,2.37E-05,2.77E-05,39512223,90440,0.118,0.84,0.267,0.61,0.345,0.059,blue,0.09,0.63,1,98.9,3,487,0.33,0.471,0.97
Colorado,1.88E-05,1.90E-05,5758736,77127,0.093,0.924,0.095,0.163,0.426,0.04,blue,0.07,0.64,3,101.2,3,330,0.44,0.457,0.8
Connecticut,2.96E-05,3.09E-05,3565287,78833,0.1,0.907,0.148,0.254,0.398,0.052,blue,0.06,0.7,3,95,5,330,0.41,0.486,0.94
Delaware,1.58E-05,3.01E-05,973764,70176,0.113,0.903,0.1,0.323,0.332,0.049,blue,0.08,0.69,1,93.7,5,396,0.42,0.44,0.9
Florida,1.07E-05,7.07E-06,21477737,59227,0.127,0.884,0.211,0.255,0.307,0.052,red,0.11,0.7,4,95.5,3,406,0.49,0.474,0.96
Georgia,4.75E-06,3.02E-06,10617423,61980,0.133,0.879,0.103,0.422,0.325,0.058,red,0.09,0.79,4,94.8,1,262,0.51,0.468,0.82
Hawaii,0,0,"1,415,872",83102,0.093,0.924,0.193,0.759,0.336,0.034,blue,0.07,0.63,1,100.1,5,338,0.3,0.433,0.76
Idaho,1.60E-05,3.12E-05,1787065,60999,0.112,0.915,0.058,0.106,0.287,0.042,red,0.11,0.67,5,101.2,3,264,0.59,0.433,0.7
Illinois,8.97E-06,6.68E-06,12671821,69187,0.115,0.898,0.139,0.286,0.358,0.054,blue,0.07,0.71,2,96.8,5,413,0.39,0.465,0.9
Indiana,2.71E-05,2.40E-05,6732219,57603,0.119,0.896,0.053,0.172,0.269,0.044,red,0.12,0.72,4,97.1,3,200,0.57,0.44,0.79
Iowa,5.46E-06,3.54E-06,3155070,61691,0.112,0.926,0.056,0.101,0.293,0.036,red,0.09,0.77,3,98.3,5,259,0.52,0.427,0.6
Kansas,1.89E-05,2.86E-05,2913314,62087,0.114,0.918,0.072,0.164,0.34,0.044,red,0.11,0.76,5,99.2,3,296,0.57,0.445,0.64
Kentucky,4.65E-05,8.51E-05,4467673,52295,0.163,0.872,0.044,0.133,0.251,0.05,red,0.17,0.76,4,96.9,1,186,0.63,0.466,0.56
Louisiana,7.30E-06,6.91E-06,4648794,51073,0.19,0.86,0.042,0.382,0.25,0.06,red,0.12,0.84,3,95.5,1,352,0.58,0.475,0.81
Maine,3.00E-05,2.40E-05,1344212,58924,0.109,0.932,0.039,0.06,0.332,0.044,blue,0.12,0.6,5,96.1,5,233,0.45,0.437,0.54
Maryland,6.15E-06,7.93E-06,6045680,86738,0.09,0.904,0.154,0.455,0.409,0.051,blue,0.06,0.69,1,94.2,5,443,0.35,0.443,0.97
Massachusetts,5.89E-05,6.37E-05,6892503,85843,0.094,0.913,0.173,0.33,0.45,0.046,blue,0.08,0.58,2,94.4,5,377,0.34,0.475,0.97
Michigan,4.05E-05,4.59E-05,9986857,59584,0.13,0.914,0.07,0.218,0.3,0.05,red,0.09,0.7,3,97.2,1,255,0.48,0.451,0.87
Minnesota,2.30E-05,2.65E-05,5639632,74593,0.09,0.936,0.084,0.179,0.373,0.038,blue,0.05,0.74,2,99.2,5,356,0.45,0.44,0.75
Mississippi,1.20E-05,1.47E-06,2976149,45792,0.196,0.853,0.021,0.42,0.223,0.061,red,0.14,0.83,5,94,1,257,0.58,0.468,0.45
Missouri,1.45E-05,1.72E-05,6137428,57409,0.129,0.907,0.043,0.182,0.302,0.053,red,0.07,0.77,5,96.2,1,296,0.57,0.455,0.78
Montana,1.92E-05,1.43E-05,1068778,57153,0.126,0.942,0.023,0.12,0.336,0.041,red,0.1,0.65,4,101.4,3,300,0.57,0.435,0.34
Nebraska,1.68E-05,2.41E-05,1934408,63229,0.099,0.92,0.074,0.138,0.332,0.029,red,0.07,0.75,3,99.3,1,260,0.6,0.432,0.6
Nevada,1.39E-05,1.67E-06,3080156,63276,0.125,0.869,0.198,0.354,0.257,0.067,blue,0.08,0.66,3,100.7,3,427,0.46,0.448,0.87
New Hampshire,2.20E-05,1.00E-05,1359711,77933,0.073,0.933,0.064,0.074,0.376,0.034,blue,0.06,0.59,5,97.4,5,312,0.47,0.425,0.63
New Jersey,3.15E-05,5.50E-05,8882190,85751,0.092,0.903,0.234,0.329,0.412,0.056,blue,0.07,0.67,1,95.4,5,401,0.42,0.464,1
New Mexico,4.51E-05,1.25E-05,2096829,51945,0.182,0.859,0.096,0.261,0.277,0.068,blue,0.1,0.75,4,98.5,5,338,0.4,0.464,0.69
New York,3.01E-05,2.80E-05,19453561,72108,0.13,0.876,0.224,0.368,0.378,0.051,blue,0.1,0.6,1,94.4,5,530,0.37,0.499,0.94
North Carolina,1.46E-05,1.62E-05,10488084,57341,0.136,0.886,0.084,0.319,0.323,0.058,red,0.1,0.77,4,94.8,3,313,0.51,0.464,0.76
North Dakota,1.06E-05,1.99E-05,762062,64577,0.106,0.935,0.041,0.142,0.304,0.028,red,0.09,0.77,4,106.1,1,307,0.64,0.433,0.5
Ohio,4.62E-05,3.92E-05,11689100,58642,0.131,0.908,0.048,0.191,0.293,0.045,red,0.1,0.73,4,96.2,1,327,0.52,0.452,0.75
Oklahoma,8.53E-06,9.45E-06,3956971,54449,0.152,0.884,0.061,0.276,0.262,0.044,red,0.1,0.79,4,97.8,3,266,0.65,0.454,0.59
Oregon,2.93E-05,3.74E-05,4217737,67058,0.114,0.914,0.097,0.165,0.345,0.062,blue,0.1,0.61,3,98.5,3,331,0.41,0.449,0.87
Pennsylvania,4.82E-06,6.13E-06,12801989,63463,0.12,0.91,0.07,0.204,0.323,0.053,red,0.09,0.73,4,96,3,303,0.49,0.461,0.87
Rhode Island,1.14E-05,1.04E-05,1059361,71169,0.108,0.893,0.137,0.213,0.348,0.054,blue,0.08,0.75,3,95.3,5,430,0.4,0.467,1
South Carolina,4.66E-06,1.74E-05,5148714,56227,0.138,0.883,0.056,0.333,0.296,0.057,red,0.09,0.78,3,94.4,3,261,0.55,0.461,0.79
South Dakota,2.29E-05,2.13E-05,884659,59533,0.119,0.921,0.041,0.159,0.297,0.035,red,0.08,0.79,4,101.9,1,241,0.62,0.442,0.51
Tennessee,2.13E-05,2.03E-05,6829174,56071,0.139,0.88,0.055,0.228,0.287,0.057,red,0.13,0.81,4,95.2,1,295,0.61,0.468,0.82
Texas,6.39E-06,6.76E-06,28995881,64034,0.136,0.846,0.171,0.266,0.308,0.042,red,0.08,0.77,4,98.6,1,290,0.53,0.469,0.92
Utah,2.19E-05,2.55E-05,3205958,75780,0.089,0.93,0.086,0.127,0.348,0.036,red,0.08,0.73,4,101.5,3,240,0.47,0.419,0.82
Vermont,4.00E-05,5.45E-05,623989,63001,0.102,0.931,0.047,0.062,0.387,0.037,blue,0.1,0.54,5,96.8,5,350,0.33,0.444,0.35
Virginia,1.45E-05,2.28E-05,8535519,76456,0.099,0.9,0.127,0.33,0.396,0.043,blue,0.07,0.73,4,96.9,3,298,0.45,0.459,0.89
Washington,5.31E-05,6.90E-05,7614893,78687,0.098,0.917,0.149,0.258,0.368,0.052,blue,0.09,0.61,3,100,5,277,0.38,0.441,0.86
West Virginia,2.53E-05,1.95E-05,1792147,48850,0.16,0.871,0.016,0.069,0.211,0.073,red,0.14,0.78,5,98.2,3,217,0.69,0.451,0.55
Wisconsin,6.01E-06,7.98E-06,5822434,64168,0.104,0.928,0.051,0.148,0.313,0.043,red,0.09,0.71,4,98.9,3,322,0.48,0.43,0.69
Wyoming,5.39E-06,7.23E-06,578759,65003,0.101,0.945,0.031,0.091,0.291,0.04,red,0.09,0.71,5,102.6,3,387,0.7,0.423,0.31
